Sla_code	Sla_name	Total_pers	TSD_Code
10300	Balranald (A)	2964	113
18200	Wentworth (A)	7245	113
11250	Broken Hill (C)	21356	114
11700	Central Darling (A)	2651	114
18809	Unincorp. Far West	1078	114
27455	Yarra Ranges (S) - South-West	104437	203
24411	Maroondah (C) - Croydon	51160	203
24412	Maroondah (C) - Ringwood	40163	203
24975	Monash (C) - Waverley West	55257	203
21452	Cardinia (S) - North	21276	203
24971	Monash (C) - South-West	39618	203
22314	Glen Eira (C) - South	43066	203
23431	Kingston (C) - North	84738	203
22674	Gr. Dandenong (C) Bal	70362	203
20912	Bayside (C) - South	48330	203
22671	Gr. Dandenong (C) - Dandenong	55817	203
21616	Casey (C) - Hallam	45703	203
21612	Casey (C) - Berwick	43624	203
21453	Cardinia (S) - Pakenham	14700	203
23434	Kingston (C) - South	37700	203
21613	Casey (C) - Cranbourne	44171	203
21618	Casey (C) - South	10033	203
22174	Frankston (C) - West	74522	203
22171	Frankston (C) - East	29449	203
21454	Cardinia (S) - South	4623	203
25345	Mornington P'sula (S) - West	39564	203
25341	Mornington P'sula (S) - East	32329	203
25344	Mornington P'sula (S) - South	38516	203
24211	Manningham (C) - East	13286	203
24214	Manningham (C) - West	90474	203
26981	Whitehorse (C) - Box Hill	46165	203
26985	Whitehorse (C) - Nunawading W.	46773	203
26984	Whitehorse (C) - Nunawading E.	42534	203
23671	Knox (C) - North	104569	203
24974	Monash (C) - Waverley East	57677	203
23674	Knox (C) - South	26225	203
23275	Hume (C) - Sunbury	24599	202
25718	Nillumbik (S) Bal	8638	202
27454	Yarra Ranges (S) - North	11094	202
24654	Melton (S) Bal	34606	202
24651	Melton (S) - East	4563	202
25715	Nillumbik (S) - South-West	19541	202
27074	Whittlesea (C) - South	92634	202
25713	Nillumbik (S) - South	26238	202
27262	Wyndham (C) - North-West	537	202
27265	Wyndham (C) - Werribee	67737	202
27071	Whittlesea (C) - North	9260	202
23274	Hume (C) - Craigieburn	26562	202
27268	Wyndham (C) Bal	5623	202
23111	Hobsons Bay (C) - Altona	48195	202
20662	Banyule (C) - North	52723	202
21892	Darebin (C) - Preston	77838	202
20661	Banyule (C) - Heidelberg	59871	202
21181	Brimbank (C) - Keilor	73202	201
25253	Moreland (C) - North	43354	201
25065	Moonee Valley (C) - West	40858	201
25252	Moreland (C) - Coburg	47575	201
25063	Moonee Valley (C) - Essendon	63991	201
25251	Moreland (C) - Brunswick	39164	201
27351	Yarra (C) - North	41973	201
24602	Melbourne (C) - Remainder	42187	201
21111	Boroondara (C) - Camberwell N.	39447	201
21114	Boroondara (C) - Kew	28473	201
24601	Melbourne (C) - Inner	6373	201
27352	Yarra (C) - Richmond	23175	201
21113	Boroondara (C) - Hawthorn	30641	201
21112	Boroondara (C) - Camberwell S.	46029	201
23112	Hobsons Bay (C) - Williamstown	25969	201
25902	Port Phillip (C) - West	26383	201
26351	Stonnington (C) - Prahran	42191	201
26352	Stonnington (C) - Malvern	42109	201
25901	Port Phillip (C) - St Kilda	46709	201
22311	Glen Eira (C) - Caulfield	70326	201
20911	Bayside (C) - Brighton	32603	201
23271	Hume (C) - Broadmeadows	64869	201
21182	Brimbank (C) - Sunshine	75929	201
24330	Maribyrnong (C)	59029	201
21891	Darebin (C) - Northcote	43956	201
22751	Bellarine - Inner	19483	204
22752	Corio - Inner	52399	204
22753	Geelong	12091	204
22754	Geelong West	13597	204
22755	Newtown	9431	204
22756	South Barwon - Inner	39165	204
22757	Greater Geelong (C) - Pt B	26876	204
26080	Queenscliffe (B)	3193	204
26493	Surf Coast (S) - East	9065	204
26495	Surf Coast (S) - West	7649	204
21751	Colac-Otway (S) - Colac	9793	204
21754	Colac-Otway (S) - North	6745	204
21755	Colac-Otway (S) - South	3226	204
22492	Golden Plains (S) - South-East	6766	204
22758	Greater Geelong (C) - Pt C	2367	204
21832	Corangamite (S) - South	7520	204
21831	Corangamite (S) - North	9443	205
25491	Moyne (S) - North-East	2755	205
25493	Moyne (S) - North-West	2960	205
25496	Moyne (S) - South	10152	205
26730	Warrnambool (C)	26776	205
28469	Lady Julia Percy Island	0	205
22411	Glenelg (S) - Heywood	6022	205
22412	Glenelg (S) - North	3668	205
22413	Glenelg (S) - Portland	10217	205
26261	S. Grampians (S) - Hamilton	9248	205
26264	S. Grampians (S) - Wannon	2535	205
26265	S. Grampians (S) Bal	5374	205
20571	Ballarat (C) - Central	33601	206
20572	Ballarat (C) - Inner North	22391	206
20573	Ballarat (C) - North	1050	206
20574	Ballarat (C) - South	19467	206
25151	Moorabool (S) - Bacchus Marsh	13489	206
25154	Moorabool (S) - Ballan	5060	206
25155	Moorabool (S) - West	3393	206
