Sla_id	Sla_name	TSD_Code
22400	Doncaster & Templestowe (C)	203
22800	Flinders (S)	203
22880	Frankston (C)	203
23280	Hastings (S)	203
23880	Knox (C)	203
24240	Lillydale (S)	203
24920	Moorabbin (C)	203
24960	Mordialloc (C)	203
25000	Mornington (S)	203
25480	Nunawading (C)	203
25520	Oakleigh (C)	203
25720	Pakenham (S)	203
26160	Ringwood (C)	203
26560	Sandringham (C)	203
26760	Sherbrooke (S)	203
26920	Springvale (C)	203
27960	Waverley (C)	203
20601	Bannockburn (S)- Pt A	204
20641	Barrabool (S)- Pt A	204
20801	Bellarine (RC)- Pt A	204
22001	Corio (S)- Pt A	204
22920	Geelong (C)	204
22960	Geelong West (C)	204
25360	Newtown (C)	204
26801	South Barwon (C)- Pt A	204
20642	Barrabool (S)- Pt B	204
20802	Bellarine (RC)- Pt B	204
26080	Queenscliffe (B)	204
26802	South Barwon (C)- Pt B	204
20602	Bannockburn (S)- Pt B	204
21880	Colac (C)	204
21920	Colac (S)	204
22002	Corio (S)- Pt B	204
24160	Leigh (S)	204
25640	Otway (S)	204
28160	Winchelsea (S)	204
23440	Heytesbury (S)	204
20760	Belfast (S)	205
21520	Camperdown (T)	205
23240	Hampden (S)	205
25040	Mortlake (S)	205
25800	Port Fairy (B)	205
27880	Warrnambool (C)	205
27920	Warrnambool (S)	205
28569	Lady Julia Percy & Towerhill	205
22440	Dundas (S)	205
23040	Glenelg (S)	205
23200	Hamilton (C)	205
23460	Heywood (S)	205
24800	Minhamite (S)	205
25120	Mount Rouse (S)	205
25880	Portland (C)	205
27720	Wannon (S)	205
20480	Ballaarat (C)	206
20561	Ballarat (S)- Pt A	206
21401	Bungaree (S)- Pt A	206
21441	Buninyong (S)- Pt A	206
26600	Sebastopol (B)	206
20360	Bacchus Marsh (S)	206
20520	Ballan (S)	206
21402	Bungaree (S)- Pt B	206
21442	Buninyong (S)- Pt B	206
22080	Creswick (S)	209
20200	Ararat (C)	206
20240	Ararat (S)	206
20280	Avoca (S)	206
20562	Ballarat (S)- Pt B	206
24200	Lexton (S)	206
26200	Ripon (S)	209
27200	Talbot & Clunes (S)	206
23161	Grenville (S)- Pt A	206
23162	Grenville (S)- Pt B	206
20160	Arapiles (S)	207
23480	Horsham (C)	207
23600	Kara Kara (S)	207
24040	Kowree (S)	207
26440	St Arnaud (T)	207
26960	Stawell (C)	207
27000	Stawell (S)	207
28120	Wimmera (S)	207
22320	Dimboola (S)	207
22480	Dunmunkle (S)	207
23560	Kaniva (S)	207
24280	Lowan (S)	207
27800	Warracknabeal (S)	207
23640	Karkarooc (S)	207
24720	Mildura (C)	208
24761	Mildura (S)- Pt A	208
21040	Birchip (S)	208
24762	Mildura (S)- Pt B	208
27600	Walpeup (S)	208
28320	Wycheproof (S)	208
23720	Kerang (B)	208
23760	Kerang (S)	208
27120	Swan Hill (C)	208
27160	Swan Hill (S)	208
22360	Donald (S)	208
21640	Charlton (S)	208
21840	Cohuna (S)	208
20920	Bendigo (C)	209
22520	Eaglehawk (B)	209
23521	Huntly (S)- Pt A	209
24521	Marong (RC)- Pt A	209
27041	Strathfieldsaye (S)- Pt A	209
22560	East Loddon (S)	209
23080	Gordon (S)	209
23960	Korong (S)	209
21000	Bet Bet (S)	209
21560	Castlemaine (C)	209
23522	Huntly (S)- Pt B	209
24320	McIvor (S)	209
24400	Maldon (S)	209
24522	Marong (RC)- Pt B	209
24560	Maryborough (C)	209
24680	Metcalfe (S)	209
25320	Newstead (S)	209
27042	Strathfieldsaye (S)- Pt B	209
27400	Tullaroop (S)	209
23000	Gisborne (S)	209
24120	Kyneton (S)	209
25280	Newham & Woodend (S)	209
26320	Romsey (S)	209
22200	Daylesford & Glenlyon (S)	209
26281	Rodney (S)- Pt A	210
26680	Shepparton (C)	210
26721	Shepparton (S)- Pt A	210
21760	Cobram (S)	210
22240	Deakin (S)	210
24080	Kyabram (T)	210
25240	Nathalia (S)	210
25440	Numurkah (S)	210
26282	Rodney (S)- Pt B	210
26722	Shepparton (S)- Pt B	210
27440	Tungamah (S)	210
27760	Waranga (S)	210
20080	Alexandra (S)	210
20840	Benalla (C)	210
20880	Benalla (S)	210
22720	Euroa (S)	210
23120	Goulburn (S)	210
24480	Mansfield (S)	210
27560	Violet Town (S)	210
21200	Broadford (S)	210
23840	Kilmore (S)	210
26640	Seymour (S)	210
28480	Yea (S)	210
26240	Rochester (S)	210
26040	Pyalong (S)	210
28440	Yarrawonga (S)	210
22600	Echuca (C)	210
20720	Beechworth (S)	211
21720	Chiltern (S)	211
27241	Tallangatta (S)- Pt A	211
28200	Wodonga (RC)	211
28360	Yackandandah (S)	211
26400	Rutherglen (S)	211
27640	Wangaratta (C)	211
27680	Wangaratta (S)	211
21120	Bright (S)	211
25160	Myrtleford (S)	211
25680	Oxley (S)	211
27242	Tallangatta (S)- Pt B	211
27480	Upper Murray (S)	211
20400	Bairnsdale (C)	212
20441	Bairnsdale (S)- Pt A	212
27281	Tambo (S)- Pt A	212
20442	Bairnsdale (S)- Pt B	212
25560	Omeo (S)	212
25600	Orbost (S)	212
27282	Tambo (S)- Pt B	212
20320	Avon (S)	212
24360	Maffra (S)	212
26520	Sale (C)	212
24880	Moe (C)	213
25081	Morwell (C)- Pt A	213
25201	Narracan (S)- Pt A	213
27320	Traralgon (C)	213
27361	Traralgon (S)- Pt A	213
28509	Yallourn Works Area	213
21360	Buln Buln (S)	213
25202	Narracan (S)- Pt B	213
27522	Upper Yarra (S)- Pt B	213
27840	Warragul (S)	213
20040	Alberton (S)	213
24840	Mirboo (S)	213
25082	Morwell (C)- Pt B	213
26360	Rosedale (S)	213
27362	Traralgon (S)- Pt B	213
20680	Bass (S)	213
24000	Korumburra (S)	213
25760	Phillip Island (S)	213
26840	South Gippsland (S)	213
28240	Wonthaggi (B)	213
28280	Woorayl (S)	213
28529	French Island	213
28649	Bass Strait Islands	213
27521	Upper Yarra (S)- Pt A	213
31067	Bowen Hills	301
31143	City - Inner	301
31146	City - Remainder	301
31187	Dutton Park	301
31195	East Brisbane	301
31228	Fortitude Valley - Inner	301
31233	Fortitude Valley - Remainder	301
31274	Herston	301
31277	Highgate Hill	301
31304	Kangaroo Point	301
31315	Kelvin Grove	301
31378	Milton	301
31421	New Farm	301
31427	Newstead	301
31454	Paddington	301
31481	Red Hill	301
31525	South Brisbane	301
31528	Spring Hill	301
31607	West End	301
31631	Woolloongabba	301
31004	Albion	302
31007	Alderley	302
31015	Annerley	302
31026	Ascot	302
31031	Ashgrove	302
31042	Balmoral	302
31048	Bardon	302
31086	Bulimba	302
31097	Camp Hill	302
31102	Cannon Hill	302
31113	Carina	302
31116	Carina Heights	302
31127	Chapel Hill	302
31132	Chelmer	302
31135	Chermside	302
31151	Clayfield	302
31154	Coopers Plains	302
