Fullcode	Name	TSD_Code
60101003	Brighton (M) (Part A)	601
60201003	Brighton (M) (Part B)	601
60101008	Clarence (M)	601
60201016	Glamorgan (M)	601
60101017	Glenorchy (C)	601
60201019	Green Ponds (M)	601
60101021	Hobart (C)	601
60101025	Kingborough (M) (Part A)	601
60101030	New Norfolk (M) (Part A)	601
60201031	Oatlands (M)	601
60201036	Richmond (M)	601
60101041	Sorell (M) (Part A)	601
60201041	Sorell (M) (Part B)	601
60201042	Spring Bay (M)	601
60201044	Tasman (M)	601
60201002	Bothwell (M)	602
60201004	Bruny (M)	602
60201011	Esperance (M)	602
60201020	 Hamilton (M)	602
60201022	Huon (M)	602
60201025	Kingborough (M) (Part B)	602
60201030	New Norfolk (M) (Part B)	602
60201033	Port Cygnet (M)	602
60301001	Beaconsfield (M) (Part A)	603
60301012	Evandale (M) (Part A)	603
60301015	George Town (M) (Part A)	603
60301027	Launceston (C)	603
60301028	Lilydale (M) (Part A)	603
60301029	Longford (M) (Part A)	603
60301039	St Leonards (M) (Part A)	603
60301047	Westbury (M) (Part A)	603
60302001	Beaconsfield (M) (Part B)	603
60302009	Deloraine (M)	603
60302012	Evandale (M) (Part B)	603
60302015	George Town (M) (Part B)	603
60302028	Lilydale (M) (Part B)	603
60302029	Longford (M) (Part B)	603
60302039	St Leonards (M) (Part B)	603
60302047	Westbury (M) (Part B)	603
60303006	Campbell Town (M)	603
60303013	 Fingal (M)	603
60303014	Flinders (M)	603
60303034	Portland (M)	603
60303037	Ringarooma (M)	603
60303038	Ross (M)	603
60303040	Scottsdale (M)	603
60401005	Burnie (M) (Part A)	604
60402005	Burnie (M) (Part B)	604
60402007	Circular Head (M)	604
60401010	Devonport (C)	604
60403018	Gormanston (M)	604
60402023	Kentish (M)	604
60402024	King Island (M)	604
60401026	Latrobe (M) (Part A)	604
60402026	Latrobe (M) (Part B)	604
60401032	Penguin (M) (Part A)	604
60402032	Penguin (M) (Part B)	604
60403035	Queenstown (M)	604
60403043	Strahan (M)	604
60401045	Ulverstone (M) (Part A)	604
60402045	Ulverstone (M) (Part B)	604
60403046	Waratah (M)	604
60401048	Wynyard (M) (Part A)	604
60402048	Wynyard (M) (Part B)	604
60403049	Zeehan (M)	604
70101005	Alawa	701
70101006	Anula	701
70101007	Bagot	701
70101008	Brinkin	701
70101009	City	701
70101010	Coconut Grove	701
70101011	Jingili	701
70101012	Larrakeyah	701
70101013	Ludmilla	701
70101014	Malak	701
70101015	Millner	701
70101016	Moil	701
70101017	Nakara	701
70101018	Narrows	701
70101019	Nightcliff	701
70101020	Palmerston Gardens	701
70101021	Parap - Fannie Bay	701
70101022	Rapid Creek	701
70101023	Stuart Park	701
70101024	Tiwi	701
70101025	Wagaman	701
70101026	Wanguri	701
70101027	Winnellie	701
70101028	Wulagi	701
70101029	Balance Of City	701
70102030	Darwin - Balance 1945 Area	701
70103031	Darwin - 1973 Acouisition	701
70207001	Alice Springs (T)	702
70202002	Alligator - Balance	702
70201003	Bathurst - Melville	702
70203004	Daly	702
70104032	Darwin - Balance Of Statistical Division	702
70204033	East Arnhem - Balance	702
70205034	Elsey - Bal	702
70204035	Groote Eylandt	702
70205036	Gulf	702
70202037	Jabiru (T)	702
70205038	Katherine (T)	702
70204039	Nhulunbuy (T)	702
70207040	Petermann	702
70207041	Sandover - Balance	702
70206042	Tableland	702
70207043	Tanami	702
70206044	Tennant Creek (T)	702
70206045	Tennant Creek - Balance	702
70205046	Victoria	702
80102001	Acton	801
80102002	Ainslie	801
80101003	Aranda	801
80102004	Barton	801
80101005	Belconnen Town Centre	801
80101006	Balance of Belconnen	801
80102007	Braddon	801
80101008	Bruce	801
80102009	Campbell	801
80104010	Chapman	801
80101011	Charnwood	801
80105012	Chifley	801
80102013	City	801
80101014	Cook	801
80105015	Curtin	801
80102016	Deakin	801
80102017	Dickson	801
80102018	Downer	801
80104019	Duffy	801
80101020	Evatt	801
80105021	Farrer	801
80104022	Fisher	801
80101023	Florey	801
80101024	Flynn	801
80102025	Forrest	801
80101026	Fraser	801
80102027	Fyshwick	801
80105028	Garran	801
80101029	Giralang	801
80103030	Gowrie	801
80102031	Griffith	801
80106032	Gungahlin	801
80102033	Hackett	801
80106034	Hall	801
80101035	Hawker	801
80101036	Higgins	801
80104037	Holder	801
80101038	Holt	801
80105039	Hughes	801
80105040	Isaacs	801
80106041	Jerrabomberra	801
80101043	Kaleen	801
80103044	Kambah	801
80102045	Kingston	801
80106046	Kowen	801
80101047	Latham	801
80102048	Lyneham	801
80105049	Lyons	801
80101050	Mckellar	801
80101051	Macgregor	801
80101052	Macquarie	801
80106053	Majura	801
80105054	Mawson	801
80101055	Melba	801
80106056	Mitchell	801
80103057	Monash	801
80102058	Narrabundah	801
80102059	O'Connor	801
80105060	O'Malley	801
80101061	Page	801
80102062	Parkes-Capital Hill-Russell	801
80105063	Pearce	801
80105064	Phillip	801
80106065	Pialligo	801
80102066	Red Hill	801
80102067	Reid	801
80104068	Rivett	801
80101069	Scullin	801
80101070	Spence	801
80104071	Stirling	801
80106072	Stromlo	801
80106073	Symonston	801
80105074	Torrens	801
80103075	Balance of Tuggeranong	801
80102076	Turner	801
80103077	Wanniassa	801
80104078	Waramanga	801
80102079	Watson	801
80101080	Weetangera	801
80104081	Weston	801
80104082	Balance of Weston Creek	801
80102083	Yarralumla	801
80201084	Remainder of A.C.T.	801
80201042	Jervis Bay 	801
11301178	Unincorporated (Lord Howe Island)	107
31101307	Unincorporated Islands	315
40103129	Unincorporated Western	402
40301129	Unincorporated York	409
