Name	TSD_Code
30073	304
30076	304
30081	304
30084	304
30087	304
30092	304
30095	304
33451	304
33454	304
33457	304
33458	304
33462	304
33465	304
33468	304
33472	304
33473	304
33474	304
33475	304
33476	304
33477	304
33481	304
33484	304
33487	304
33492	304
33495	304
33498	304
33503	304
33506	304
33511	304
30551	305
30554	305
30557	305
30800	305
33050	305
33250	305
33950	305
34450	305
35202	305
35203	305
35204	305
35207	305
35212	305
35231	305
32001	306
32031	306
34250	306
34501	306
34504	306
34901	306
34904	306
35751	306
35754	306
31800	307
33551	307
30700	307
32950	307
33300	307
33554	307
33650	307
33750	307
34000	307
34300	307
34350	307
34400	307
34950	307
35100	307
35150	307
35450	307
35500	307
35650	307
35900	307
36850	307
37350	307
37450	307
37500	307
37551	307
37554	307
30100	308
32150	308
32350	308
32400	308
32550	308
32650	308
33400	308
33600	308
33900	308
34200	308
35000	308
35550	308
36050	308
36450	308
36500	308
36600	308
36700	308
36750	308
36900	308
37100	308
37150	308
37250	308
30300	309
30650	309
30850	309
31750	309
31850	309
35600	309
35800	309
36150	309
36400	309
33151	310
36350	310
32101	310
33350	310
30350	310
30500	310
32104	310
32850	310
33000	310
33154	310
34100	310
34550	310
35350	310
35850	310
30150	311
30400	311
30450	311
30750	311
30900	311
32750	311
33850	311
34050	311
34700	311
36650	311
37400	311
34750	312
36001	312
30600	312
31700	312
35050	312
35700	312
36004	312
36100	312
36550	312
37001	313
37004	313
37007	313
37012	313
37015	313
37018	313
37023	313
37026	313
36801	313
36804	313
36807	313
30950	313
31900	313
32300	313
32700	313
33800	313
36831	313
37031	313
37034	313
37037	313
37042	313
37045	313
37048	313
37053	313
37056	313
37061	313
32050	314
35401	314
30200	314
30250	314
32200	314
32500	314
32600	314
32800	314
32900	314
33100	314
33700	314
34150	314
34850	314
35404	314
36950	314
37300	314
31950	315
32250	315
32450	315
33200	315
34800	315
35250	315
35300	315
36300	315
38809	315
37200	309
40071	401
40072	401
40073	401
43150	401
46510	401
47070	401
47980	401
48260	401
40560	402
40700	402
40910	402
41821	402
41822	402
42240	402
42590	402
42660	402
44060	402
44340	402
45530	402
46020	402
47770	402
48470	402
48680	402
41610	403
41680	403
42030	403
42450	403
44900	403
45250	403
47140	403
47350	403
47700	403
48610	403
41190	404
41750	404
41960	404
43220	404
43570	404
43710	404
44970	404
46300	404
47490	404
47910	404
49179	404
49249	404
40210	405
40420	405
40630	405
41400	405
43080	405
43430	405
43780	405
43990	405
44130	405
44480	405
45040	405
45460	405
45600	405
45880	405
46650	405
46720	405
47840	405
48120	405
49039	405
49109	405
40980	406
41330	406
41470	406
42100	406
42170	406
42380	406
42520	406
42730	406
42800	406
42940	406
43500	406
44830	406
45390	406
45740	406
45810	406
45950	406
46090	406
46440	406
46580	406
48540	406
49389	406
49459	406
49529	406
49589	406
40140	407
40280	407
41540	407
42310	407
43010	407
43290	407
43640	407
43920	407
44550	407
44760	407
45320	407
46230	407
47420	407
47560	407
48050	407
48750	407
40350	408
43360	408
43850	408
44200	408
44620	408
44690	408
45110	408
45180	408
45670	408
46370	408
46860	408
47630	408
40490	409
40770	409
40840	409
41050	409
41120	409
41260	409
41890	409
44270	409
45280	409
46160	409
46790	409
46930	409
47000	409
47210	409
47280	409
48190	409
48330	409
48400	409
48820	409
51750	501
52170	501
53150	501
53431	501
53432	501
55740	501
56580	501
56930	501
57071	501
57072	501
57073	501
57074	501
57075	501
57840	501
57980	501
50350	502
50420	502
50490	502
51330	502
55320	502
57911	502
57912	502
57913	502
50210	503
51820	503
53780	503
54200	503
54830	503
56090	503
57490	503
57700	503
58050	503
58750	503
50280	504
50630	504
50770	504
50840	504
51190	504
51260	504
51400	504
51890	504
52660	504
52870	504
53990	504
55110	504
55180	504
56230	504
56300	504
58820	504
50070	505
50140	505
51050	505
52240	505
52730	505
53640	505
54130	505
54340	505
54480	505
54550	505
57210	505
58120	505
59380	505
50910	506
52100	506
52310	506
53010	506
54620	506
54760	506
54900	506
56440	506
56510	506
57140	506
58610	506
58680	506
58890	506
59100	506
59170	506
50560	507
51120	507
51680	507
52450	507
52520	507
52590	507
52940	507
53570	507
53710	507
54410	507
54690	507
55460	507
55600	507
55880	507
55950	507
56370	507
56650	507
56720	507
56860	507
57350	507
58190	507
58330	507
58400	507
58540	507
59030	507
59310	507
59450	507
59660	507
59730	507
50700	508
51960	508
53080	508
53290	508
54270	508
54970	508
55040	508
55390	508
57420	508
51470	509
51540	509
51610	509
52030	509
52380	509
53360	509
53500	509
53850	509
54060	509
55250	509
55530	509
55670	509
55810	509
56020	509
56160	509
56790	509
57000	509
57630	509
57770	509
58260	509
58470	509
59240	509
59590	509
53220	510
57280	510
57560	510
58960	510
50980	511
52800	511
53920	511
59520	511
60301	601
60302	601
60800	601
61600	601
61700	601
61900	601
62101	601
62102	601
62501	601
63001	601
63100	601
63600	601
64101	601
64102	601
64200	601
64400	601
60200	602
60400	602
61100	602
62000	602
62200	602
62502	602
63002	602
63300	602
60101	603
60102	603
60600	603
60900	603
61201	603
61202	603
61300	603
61400	603
61501	603
61502	603
62701	603
62703	603
62704	603
62901	603
62902	603
63400	603
63700	603
63800	603
64000	603
64701	603
64702	603
60501	604
60502	604
60700	604
61000	604
61800	604
62300	604
62400	604
62601	604
62602	604
63201	604
63202	604
63500	604
64300	604
64501	604
64502	604
64600	604
64801	604
64802	604
64900	604
71004	701
71008	701
71014	701
71018	701
71024	701
71028	701
71034	701
71038	701
71044	701
71048	701
71054	701
71058	701
71064	701
71068	701
71074	701
71078	701
71084	701
71088	701
71094	701
71098	701
71104	701
71108	701
71114	701
71118	701
71124	701
71128	701
71134	701
71138	701
72804	701
72808	701
72814	701
72818	701
72824	701
72609	701
70200	702
70409	702
70609	702
70809	702
71209	702
71409	702
71609	702
71809	702
72000	702
72200	702
72409	702
73009	702
73209	702
73409	702
73609	702
73800	702
74009	702
74209	702
74409	702
80089	801
80189	801
80279	801
80369	801
80459	801
80549	801
80639	801
80729	801
80819	801
80909	801
81089	801
81179	801
81269	801
81359	801
81449	801
81629	801
81719	801
81809	801
81889	801
81989	801
82079	801
82169	801
82259	801
82349	801
82439	801
82529	801
82619	801
82709	801
82789	801
82889	801
82979	801
83069	801
83159	801
83249	801
83339	801
83429	801
83519	801
83609	801
83689	801
83789	801
83879	801
83969	801
84059	801
84149	801
84239	801
84329	801
84419	801
84509	801
84589	801
84779	801
84869	801
84959	801
85049	801
85139	801
85229	801
85319	801
85409	801
85489	801
85589	801
85679	801
85769	801
85859	801
85949	801
86039	801
86129	801
86219	801
86309	801
86389	801
86489	801
86579	801
86669	801
86759	801
86849	801
86939	801
87029	801
87119	801
87209	801
87289	801
87389	801
87479	801
87569	801
87659	801
87749	801
87839	801
87929	801
88019	801
88109	801
88189	801
88289	801
88379	801
88469	801
88559	801
88649	801
88739	801
88829	801
88919	801
89009	801
84689	801
18859	107
48899	402
48969	409
